ID,Region,Gender,Degree,Marital,Religion,Happy,Income,Politics,GunLaw,OwnGun,SpendMilitary,SpendEduc,SpendEnv,SpendCity,Pres16,Age
18,Foreign,Female,Bachelor,Married,Moslem/Islam,Very Happy,Below Average,Conservative,NA,NA,NA,NA,NA,NA,NA,30
19,Middle Atlantic,Female,Graduate,Divorced,Protestant,NA,Above Average,Liberal,Not Legal,Agree,NA,NA,Too Little,Too Little,Obama,40
20,Middle Atlantic,Male,Graduate,Never Married,Catholic,NA,Below Average,Moderate,Legal,Strongly Agree,NA,Too Little,Too Little,NA,NA,30
21,Foreign,Female,High School,Married,Orthodox-Christian,Pretty Happy,Below Average,Conservative,NA,Disagree,NA,NA,Too Little,Too Little,NA,34
22,Middle Atlantic,Female,Junior College,Never Married,Protestant,NA,Average,Conservative,NA,NA,About Right,Too Little,NA,About Right,NA,29
23,Middle Atlantic,Female,Junior College,Married,Catholic,Pretty Happy,Above Average,Moderate,Legal,Strongly Disagree,NA,NA,About Right,Too Little,Obama,40
24,Middle Atlantic,Male,High School,Never Married,Buddhism,NA,Average,Extremely Liberal,NA,Strongly Disagree,About Right,Too Little,Too Little,Too Little,Obama,37
25,Middle Atlantic,Female,Bachelor,Married,Protestant,Very Happy,Average,Conservative,NA,Disagree,NA,NA,Too Little,Too Little,Romney,56
26,Foreign,Male,Lt High School,Widowed,Catholic,NA,Average,Moderate,Legal,NA,NA,NA,Too Little,Too Little,NA,82
27,Middle Atlantic,Female,High School,Divorced,Catholic,NA,Average,Moderate,NA,Strongly Disagree,NA,NA,Too Little,Too Little,Obama,68
28,Middle Atlantic,Female,Lt High School,Never Married,Protestant,NA,Average,Moderate,Legal,NA,Too Little,About Right,About Right,Too Little,NA,42
29,Middle Atlantic,Female,High School,Divorced,Catholic,NA,Far Below Average,Extrmly Conservative,Not Legal,NA,NA,NA,Too Little,Too Much,NA,40
30,Middle Atlantic,Male,High School,Never Married,Catholic,NA,Above Average,Liberal,NA,Agree,NA,NA,About Right,About Right,NA,20
31,Middle Atlantic,Female,High School,Married,Catholic,Pretty Happy,Below Average,Extrmly Conservative,Not Legal,NA,Too Much,Too Little,Too Much,Too Little,Romney,74
32,Middle Atlantic,Male,Lt High School,Married,Catholic,Very Happy,Above Average,Moderate,Not Legal,NA,Too Much,Too Little,Too Little,Too Little,Obama,89 OR OLDER
33,Middle Atlantic,Female,Bachelor,Married,Protestant,Very Happy,Average,Moderate,Legal,NA,NA,NA,About Right,About Right,Romney,60
34,Middle Atlantic,Female,Bachelor,Divorced,None,NA,Below Average,Extremely Liberal,NA,Agree,NA,NA,Too Little,Too Little,Obama,56
35,Foreign,Female,Lt High School,Divorced,Protestant,NA,Average,Conservative,Not Legal,Disagree,NA,NA,About Right,Too Little,Obama,55
36,Middle Atlantic,Male,Graduate,Married,Jewish,Very Happy,Average,Extrmly Conservative,Not Legal,Disagree,NA,NA,About Right,About Right,Romney,65
37,E. Nor. Central,Female,Graduate,Widowed,Jewish,NA,Below Average,Moderate,NA,Disagree,NA,NA,Too Little,About Right,Obama,71
38,Middle Atlantic,Male,Graduate,Never Married,None,NA,Below Average,Extremely Liberal,Legal,Strongly Agree,About Right,Too Little,Too Little,Too Little,Obama,34
39,Foreign,Male,Graduate,Married,Protestant,Pretty Happy,Far Below Average,Slghtly Conservative,Legal,Disagree,NA,NA,Too Little,About Right,NA,45
40,Middle Atlantic,Female,High School,NA,None,NA,Average,Moderate,NA,NA,Too Much,Too Little,Too Little,Too Little,NA,50
41,Pacific,Female,High School,Divorced,None,NA,Average,Slightly Liberal,Legal,Disagree,NA,Too Little,Too Little,NA,Obama,65
42,Middle Atlantic,Male,High School,Never Married,Catholic,NA,Far Above Average,Moderate,NA,Disagree,NA,NA,About Right,Too Little,NA,52
43,Middle Atlantic,Female,High School,Widowed,Catholic,NA,Average,Moderate,Legal,NA,Too Much,Too Little,Too Little,Too Little,Obama,62
44,Foreign,Male,Graduate,Married,Other,Very Happy,Above Average,Moderate,Legal,NA,Too Little,Too Little,Too Little,NA,Obama,60
45,Middle Atlantic,Female,Bachelor,Divorced,Moslem/Islam,NA,Average,Liberal,Legal,NA,NA,NA,Too Little,About Right,Obama,62
46,Foreign,Female,High School,Widowed,Catholic,NA,Average,Slghtly Conservative,NA,Disagree,Too Little,Too Little,About Right,Too Little,NA,46
47,Foreign,Male,Graduate,Married,Catholic,Pretty Happy,Above Average,Slightly Liberal,Legal,Disagree,NA,NA,About Right,Too Little,NA,40
48,Middle Atlantic,Female,Graduate,Married,Catholic,Pretty Happy,Below Average,Slightly Liberal,Legal,NA,About Right,Too Little,About Right,About Right,Obama,53
49,South Atlantic,Male,Bachelor,Divorced,Protestant,NA,Above Average,Conservative,Not Legal,NA,NA,NA,Too Little,About Right,Romney,75
50,Middle Atlantic,Female,Bachelor,Divorced,Other,NA,Above Average,Moderate,NA,NA,About Right,Too Little,Too Little,Too Little,Obama,67
51,Middle Atlantic,Male,High School,Never Married,Catholic,NA,Average,NA,Legal,Agree,NA,NA,Too Little,Too Little,NA,22
52,Middle Atlantic,Female,High School,Separated,Protestant,NA,Average,Moderate,NA,Disagree,NA,NA,Too Little,Too Little,Obama,42
53,Foreign,Female,Graduate,Divorced,Jewish,NA,Far Below Average,Moderate,NA,Agree,NA,NA,About Right,About Right,NA,59
54,Foreign,Female,Graduate,Married,Hinduism,Very Happy,Average,Moderate,Not Legal,NA,NA,NA,Too Little,Too Much,NA,33
55,Foreign,Male,Bachelor,Married,None,Very Happy,Average,Slightly Liberal,Legal,Disagree,About Right,About Right,About Right,Too Little,Obama,46
56,Middle Atlantic,Male,Bachelor,Divorced,Catholic,NA,Below Average,Moderate,Legal,Strongly Agree,Too Much,Too Much,About Right,Too Little,Obama,55
57,Middle Atlantic,Female,Bachelor,Married,Catholic,Pretty Happy,Above Average,Moderate,Legal,NA,NA,NA,Too Little,Too Little,Obama,43
58,Middle Atlantic,Female,High School,Never Married,Protestant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45
59,Middle Atlantic,Male,Lt High School,Never Married,Catholic,NA,Average,Conservative,Legal,Disagree,Too Little,Too Little,About Right,Too Little,NA,23
60,New England,Female,High School,Separated,None,NA,Below Average,Moderate,Legal,Disagree,Too Little,Too Much,Too Little,About Right,Obama,28
61,Middle Atlantic,Female,High School,Married,Other,Pretty Happy,Below Average,Liberal,NA,NA,NA,NA,About Right,About Right,NA,27
62,Middle Atlantic,Female,Lt High School,Married,Protestant,Not Too Happy,Average,Extremely Liberal,Legal,Disagree,NA,NA,Too Little,Too Little,Obama,42
63,Middle Atlantic,Female,Bachelor,Never Married,Protestant,NA,Average,Moderate,NA,Agree,NA,NA,Too Little,Too Little,Obama,41
64,Foreign,Female,High School,Widowed,Protestant,NA,Below Average,Moderate,NA,NA,Too Little,Too Little,Too Little,Too Little,Obama,64
65,Middle Atlantic,Male,Lt High School,Never Married,None,NA,Average,Moderate,Not Legal,NA,Too Much,Too Little,Too Little,Too Little,NA,53
66,Foreign,Male,Graduate,Divorced,Protestant,NA,Below Average,Liberal,NA,NA,NA,NA,Too Little,Too Little,Obama,79
67,Middle Atlantic,Male,High School,Married,Protestant,Pretty Happy,Below Average,Conservative,NA,Agree,About Right,About Right,About Right,Too Little,NA,34
68,Middle Atlantic,Female,High School,Separated,Protestant,NA,Average,Moderate,Legal,NA,About Right,Too Little,Too Little,Too Little,Obama,59
69,Middle Atlantic,Female,Graduate,Never Married,Protestant,NA,Above Average,Slightly Liberal,NA,Agree,NA,NA,Too Little,Too Little,Obama,32
70,Middle Atlantic,Female,Bachelor,Married,Protestant,Very Happy,Below Average,Extremely Liberal,Not Legal,NA,NA,NA,Too Little,Too Little,Obama,33
71,Middle Atlantic,Male,High School,Never Married,Catholic,NA,Far Above Average,Moderate,Not Legal,NA,Too Little,About Right,Too Little,Too Little,Obama,35
72,Foreign,Male,Junior College,Married,Protestant,Pretty Happy,Average,Liberal,Not Legal,Strongly Agree,About Right,Too Little,Too Little,Too Little,Obama,37
73,Foreign,Female,Bachelor,Married,None,Very Happy,Average,Slightly Liberal,NA,NA,NA,NA,Too Little,Too Little,NA,28
74,New England,Female,Graduate,Married,Catholic,Pretty Happy,Below Average,Liberal,Legal,Strongly Agree,NA,NA,Too Little,Too Little,Obama,42
75,Middle Atlantic,Male,High School,Never Married,None,NA,Average,Liberal,Legal,Strongly Disagree,Too Much,Too Little,Too Little,About Right,NA,21
76,Middle Atlantic,Female,Junior College,Never Married,Protestant,NA,Far Below Average,Conservative,NA,Disagree,Too Little,Too Little,About Right,Too Little,Romney,33
77,Middle Atlantic,Female,Bachelor,Married,Catholic,Very Happy,Average,Moderate,NA,Strongly Agree,NA,NA,Too Little,Too Little,Romney,37
78,Middle Atlantic,Female,Lt High School,Widowed,Catholic,NA,Far Below Average,Moderate,NA,NA,NA,Too Little,Too Little,Too Little,NA,89 OR OLDER
79,Middle Atlantic,Female,Junior College,Married,NA,Very Happy,Average,Moderate,NA,NA,Too Much,About Right,Too Little,Too Little,NA,47
80,Middle Atlantic,Female,Lt High School,Married,NA,Very Happy,NA,NA,NA,NA,About Right,Too Little,About Right,Too Little,NA,63
81,Middle Atlantic,Female,Bachelor,Married,Protestant,Very Happy,Below Average,Liberal,NA,NA,NA,NA,Too Little,Too Little,Obama,71
82,Middle Atlantic,Female,High School,Married,NA,Very Happy,Average,NA,NA,Agree,NA,NA,Too Little,Too Little,Obama,42
83,Foreign,Female,High School,Divorced,Catholic,NA,Far Below Average,Moderate,Legal,Disagree,NA,NA,Too Little,Too Little,NA,37
84,Middle Atlantic,Female,High School,Married,Catholic,Very Happy,Average,Extrmly Conservative,NA,Agree,Too Much,Too Little,Too Little,Too Little,Obama,40
85,Middle Atlantic,Male,High School,Separated,Catholic,NA,Below Average,Conservative,Legal,Disagree,Too Much,Too Little,Too Little,Too Little,Obama,70
86,Middle Atlantic,Male,Bachelor,Never Married,None,NA,Below Average,Slightly Liberal,NA,Disagree,NA,NA,Too Little,Too Little,NA,28
87,Middle Atlantic,Female,High School,Never Married,Protestant,NA,Far Below Average,Liberal,Not Legal,Agree,Too Little,Too Little,Too Little,Too Little,Obama,53
88,South Atlantic,Male,High School,Married,None,Pretty Happy,Above Average,Extremely Liberal,Legal,Agree,NA,NA,About Right,About Right,Obama,46
89,Middle Atlantic,Male,Graduate,Married,Protestant,Very Happy,Above Average,Liberal,Legal,Disagree,About Right,Too Little,Too Little,Too Little,Obama,55
90,W. Sou. Central,Male,Graduate,Never Married,Moslem/Islam,NA,Average,Moderate,Legal,Disagree,NA,NA,Too Little,Too Little,Obama,28
91,Middle Atlantic,Male,Graduate,Never Married,None,NA,Above Average,Moderate,Legal,Agree,Too Much,About Right,Too Little,Too Little,Obama,42
92,Middle Atlantic,Female,Graduate,Married,Protestant,Very Happy,Above Average,Extremely Liberal,NA,Disagree,NA,NA,Too Little,Too Little,Obama,77
93,Pacific,Male,Graduate,Never Married,Hinduism,NA,Above Average,Slightly Liberal,Legal,Disagree,About Right,About Right,About Right,Too Little,NA,29
94,Foreign,Female,Lt High School,Widowed,None,NA,NA,Liberal,NA,NA,NA,NA,NA,Too Little,Obama,62
95,Middle Atlantic,Female,Bachelor,Never Married,Protestant,NA,Average,Liberal,NA,Disagree,About Right,Too Little,Too Little,Too Little,Obama,30
96,Middle Atlantic,Male,High School,Never Married,Protestant,NA,Above Average,Liberal,Not Legal,Disagree,Too Little,About Right,About Right,About Right,NA,22
97,Middle Atlantic,Female,High School,Married,Protestant,Very Happy,Below Average,Liberal,Legal,NA,NA,NA,Too Much,Too Little,Obama,69
98,Middle Atlantic,Male,Bachelor,Separated,Catholic,NA,Average,Slghtly Conservative,NA,Agree,NA,NA,About Right,Too Little,Obama,45
99,Foreign,Female,High School,Married,Moslem/Islam,Very Happy,Below Average,Moderate,Legal,NA,About Right,Too Little,About Right,About Right,Obama,32
100,Foreign,Female,Lt High School,Widowed,Catholic,NA,Average,Moderate,Not Legal,NA,NA,NA,About Right,About Right,NA,60
101,Middle Atlantic,Male,Lt High School,Divorced,Catholic,NA,Average,Conservative,NA,Disagree,Too Much,Too Much,Too Much,Too Much,Romney,48
102,Foreign,Female,High School,Divorced,Hinduism,NA,Below Average,Liberal,NA,NA,NA,NA,NA,About Right,Obama,81
103,Foreign,Male,Graduate,Married,None,Very Happy,Above Average,Liberal,Legal,Disagree,Too Little,Too Little,Too Little,Too Little,Obama,50
104,Middle Atlantic,Female,High School,Married,Catholic,Very Happy,Average,Slghtly Conservative,Not Legal,NA,NA,NA,Too Little,About Right,Romney,78
105,Middle Atlantic,Male,Graduate,Never Married,Jewish,NA,Below Average,Extremely Liberal,Legal,Strongly Agree,NA,Too Little,Too Little,Too Little,Obama,56
106,Middle Atlantic,Male,High School,Never Married,Catholic,NA,Below Average,Slghtly Conservative,NA,Disagree,NA,NA,About Right,About Right,Romney,60
107,Middle Atlantic,Male,High School,Never Married,Catholic,NA,Above Average,Moderate,Not Legal,Disagree,Too Much,Too Much,Too Little,Too Little,NA,23
108,Middle Atlantic,Female,High School,Never Married,Catholic,NA,Below Average,NA,Legal,Strongly Disagree,Too Much,Too Little,NA,Too Little,NA,67
109,Middle Atlantic,Female,Bachelor,Married,Catholic,Very Happy,Above Average,NA,Not Legal,Disagree,NA,NA,About Right,Too Little,Obama,54
110,Middle Atlantic,Female,Junior College,Married,Catholic,Very Happy,Average,Slightly Liberal,Legal,NA,Too Much,Too Little,About Right,Too Little,Obama,62
111,Middle Atlantic,Female,Junior College,Divorced,Protestant,NA,Below Average,Moderate,Legal,Disagree,Too Much,Too Little,About Right,Too Little,Obama,55
112,Middle Atlantic,Female,High School,Married,Catholic,Very Happy,Average,Conservative,NA,Agree,NA,NA,Too Little,Too Little,NA,56
113,South Atlantic,Male,Junior College,Never Married,None,NA,Above Average,Extremely Liberal,Legal,NA,About Right,Too Little,Too Little,Too Little,Obama,58
114,Foreign,Female,High School,Divorced,Catholic,NA,Above Average,NA,Not Legal,NA,NA,NA,NA,Too Little,Obama,74
115,New England,Male,Bachelor,Married,Protestant,Very Happy,Average,Slightly Liberal,Legal,Disagree,Too Little,Too Little,About Right,Too Little,Obama,70
116,Middle Atlantic,Male,Bachelor,Married,Catholic,Very Happy,Average,Slghtly Conservative,NA,Strongly Disagree,NA,NA,Too Little,About Right,Romney,35
117,Middle Atlantic,Male,Lt High School,Married,None,Very Happy,Below Average,Moderate,Legal,NA,Too Much,About Right,About Right,Too Little,Obama,65
118,New England,Female,Junior College,Married,None,Pretty Happy,Below Average,Moderate,Legal,NA,NA,NA,Too Little,Too Little,NA,42
119,New England,Female,High School,Married,Catholic,Very Happy,Below Average,Slghtly Conservative,Legal,Strongly Disagree,Too Much,About Right,Too Much,Too Little,NA,48
120,New England,Male,High School,Never Married,Catholic,NA,Average,Moderate,NA,Disagree,About Right,About Right,About Right,About Right,Obama,32
121,New England,Female,High School,Married,None,Pretty Happy,Average,Conservative,Not Legal,NA,NA,NA,Too Much,Too Little,NA,56
122,New England,Female,High School,Married,Catholic,Very Happy,Below Average,Extrmly Conservative,NA,Disagree,NA,NA,About Right,Too Little,NA,61
123,Middle Atlantic,Female,Bachelor,Widowed,Protestant,NA,Below Average,Extremely Liberal,Legal,Strongly Disagree,About Right,Too Little,Too Little,Too Little,Obama,76
124,Pacific,Female,Bachelor,Married,Protestant,Pretty Happy,Above Average,Slghtly Conservative,Legal,Disagree,NA,NA,About Right,Too Much,NA,59
125,E. Nor. Central,Male,Bachelor,Never Married,Protestant,NA,Average,Liberal,NA,Strongly Disagree,NA,NA,Too Little,Too Little,Obama,69
126,Pacific,Male,Graduate,Never Married,None,NA,Below Average,Slightly Liberal,Not Legal,Disagree,NA,NA,Too Little,Too Little,Obama,48
127,Pacific,Female,Graduate,Married,Jewish,Very Happy,Below Average,Conservative,NA,Disagree,Too Much,About Right,Too Little,About Right,NA,68
128,Pacific,Female,Bachelor,Never Married,Protestant,NA,Average,Slightly Liberal,Legal,Disagree,NA,NA,Too Little,Too Little,NA,39
129,Foreign,Male,Graduate,Married,Catholic,Pretty Happy,Average,Moderate,NA,Strongly Disagree,Too Much,Too Little,Too Little,Too Little,NA,38
130,Pacific,Female,Graduate,Never Married,None,NA,Above Average,Liberal,Legal,Strongly Disagree,NA,NA,Too Little,Too Little,Obama,39
131,Foreign,Female,High School,Married,Protestant,Very Happy,Average,Moderate,Not Legal,NA,Too Little,Too Little,Too Little,Too Little,NA,52
132,Foreign,Female,Graduate,Married,None,Very Happy,Above Average,Extremely Liberal,NA,NA,NA,NA,About Right,Too Little,NA,41
133,Pacific,Male,Bachelor,Married,None,Pretty Happy,Average,Liberal,Legal,Disagree,NA,NA,Too Little,Too Little,Obama,60
134,Pacific,Male,High School,Married,Protestant,Very Happy,Above Average,Liberal,Not Legal,Disagree,NA,NA,Too Little,Too Little,Obama,69
135,Foreign,Male,High School,Married,Buddhism,Very Happy,Below Average,Liberal,Legal,Disagree,NA,Too Little,Too Little,Too Little,NA,60
136,Pacific,Female,High School,Never Married,Catholic,NA,Average,Slightly Liberal,Legal,Disagree,NA,NA,About Right,Too Little,NA,22
137,Pacific,Male,High School,Never Married,None,NA,Average,Moderate,NA,NA,About Right,Too Little,About Right,Too Little,NA,33
138,Foreign,Female,Bachelor,Married,None,Pretty Happy,Below Average,Slghtly Conservative,Legal,Strongly Agree,NA,NA,NA,Too Little,NA,35
139,Foreign,Female,Lt High School,Married,Catholic,Very Happy,Average,Moderate,Not Legal,Strongly Agree,NA,NA,Too Little,NA,NA,38
140,Pacific,Female,High School,Never Married,None,NA,Average,Moderate,NA,Disagree,NA,NA,About Right,Too Little,NA,25
141,Pacific,Male,Junior College,Divorced,None,NA,Average,Conservative,Not Legal,Strongly Disagree,NA,NA,Too Much,Too Much,Romney,55
142,Pacific,Male,High School,Married,Protestant,Very Happy,Above Average,Liberal,Legal,Strongly Disagree,Too Much,Too Little,Too Little,NA,Obama,34
143,Pacific,Male,Lt High School,Divorced,Catholic,NA,Below Average,NA,NA,NA,NA,NA,Too Little,Too Little,NA,49
144,Pacific,Male,High School,Never Married,Protestant,NA,Average,Moderate,NA,NA,NA,NA,Too Little,Too Little,NA,18
145,Pacific,Male,High School,Divorced,Catholic,NA,Average,Slightly Liberal,Legal,Disagree,Too Much,About Right,Too Little,About Right,Obama,56
146,Pacific,Male,High School,Never Married,Protestant,NA,Average,Conservative,NA,Agree,NA,NA,Too Little,Too Little,NA,19
147,Pacific,Male,High School,Never Married,Protestant,NA,Far Below Average,Moderate,Legal,NA,NA,NA,Too Little,About Right,NA,34
148,Pacific,Female,Bachelor,Never Married,Catholic,NA,Below Average,NA,Legal,Strongly Disagree,Too Little,Too Little,About Right,Too Little,NA,26
149,Pacific,Male,High School,Never Married,None,NA,Above Average,Moderate,NA,NA,NA,NA,About Right,Too Little,NA,28
150,Pacific,Female,Graduate,Separated,Jewish,NA,Below Average,Liberal,Legal,Agree,About Right,Too Little,About Right,Too Little,Obama,59
151,Pacific,Female,Graduate,Never Married,Protestant,NA,Average,Moderate,Legal,Strongly Agree,About Right,Too Little,About Right,About Right,NA,39
152,W. Sou. Central,Female,High School,Separated,Protestant,NA,Average,Conservative,Not Legal,NA,NA,NA,About Right,About Right,Obama,77
153,Pacific,Female,High School,Never Married,Protestant,NA,Average,Slghtly Conservative,NA,NA,Too Little,Too Little,Too Little,Too Little,Obama,35
154,Foreign,Female,Bachelor,Separated,Catholic,NA,Far Below Average,Moderate,NA,Agree,Too Much,Too Little,Too Little,About Right,NA,46
155,Foreign,Male,Lt High School,Never Married,Catholic,NA,Far Above Average,Moderate,Legal,Strongly Agree,About Right,About Right,About Right,Too Much,NA,57
156,Foreign,Female,Lt High School,Married,None,Pretty Happy,Average,Moderate,Not Legal,Strongly Agree,Too Little,Too Little,Too Little,Too Little,NA,35
157,Pacific,Female,High School,Separated,Protestant,NA,Average,Slghtly Conservative,NA,Disagree,Too Much,Too Much,About Right,About Right,Obama,58
158,Pacific,Female,High School,Never Married,Catholic,NA,Far Below Average,Moderate,NA,Disagree,NA,NA,About Right,Too Little,NA,20
159,Foreign,Female,Lt High School,Married,Catholic,Pretty Happy,Below Average,Moderate,Not Legal,Disagree,Too Little,Too Little,About Right,About Right,NA,48
160,Foreign,Female,Lt High School,Separated,Catholic,NA,Far Below Average,Moderate,NA,Agree,NA,NA,About Right,Too Much,NA,51
161,Pacific,Female,Lt High School,Never Married,None,NA,Average,Liberal,Legal,NA,Too Much,Too Little,About Right,Too Little,NA,18
162,Pacific,Female,High School,Never Married,None,NA,Average,Liberal,Legal,NA,NA,NA,About Right,Too Little,NA,18
163,Pacific,Female,High School,Married,None,Pretty Happy,Below Average,Moderate,NA,Disagree,Too Little,Too Little,NA,Too Little,Obama,41
164,Foreign,Female,High School,Married,Catholic,Very Happy,Average,Moderate,Not Legal,NA,NA,NA,Too Little,About Right,NA,51
165,Foreign,Female,Lt High School,Married,Catholic,Pretty Happy,Below Average,Moderate,NA,NA,NA,NA,Too Little,Too Little,NA,41
166,Pacific,Female,High School,Never Married,None,NA,Average,Liberal,NA,NA,NA,NA,About Right,Too Little,Obama,71
167,Foreign,Male,Lt High School,Never Married,None,NA,Below Average,Moderate,Legal,Disagree,NA,NA,About Right,About Right,NA,43
168,Foreign,Male,Bachelor,Never Married,Catholic,NA,Average,Liberal,NA,NA,NA,NA,Too Much,NA,NA,53
169,Pacific,Male,Junior College,Never Married,None,NA,Average,Slightly Liberal,NA,Agree,Too Much,Too Little,Too Little,Too Little,Obama,46
170,Pacific,Male,High School,Married,Protestant,Pretty Happy,Below Average,Slightly Liberal,NA,Agree,About Right,Too Little,About Right,Too Little,Obama,36
171,Pacific,Male,High School,Never Married,None,NA,Average,Slghtly Conservative,Not Legal,Disagree,NA,NA,About Right,Too Little,NA,19
172,Foreign,Male,High School,Married,Catholic,Very Happy,Far Above Average,Liberal,Not Legal,Disagree,NA,Too Little,Too Little,Too Little,NA,65
173,Pacific,Female,High School,Divorced,Protestant,NA,Average,Moderate,Not Legal,Agree,Too Much,About Right,About Right,About Right,Romney,60
174,Pacific,Female,Bachelor,Never Married,Jewish,NA,Average,Conservative,Not Legal,NA,NA,NA,Too Little,Too Little,Obama,63
175,South Atlantic,Male,Graduate,Married,Jewish,Pretty Happy,Above Average,Liberal,Legal,Disagree,NA,NA,Too Little,NA,Obama,36
176,Foreign,Female,Bachelor,Married,Buddhism,Pretty Happy,Average,Conservative,Legal,NA,Too Much,NA,Too Much,About Right,NA,40
177,E. Nor. Central,Female,Graduate,Married,Jewish,Pretty Happy,Above Average,Extremely Liberal,NA,Disagree,NA,NA,Too Little,Too Little,Obama,42
178,W. Nor. Central,Male,High School,Separated,Other,NA,Far Below Average,NA,Legal,Disagree,Too Much,Too Little,About Right,Too Little,Didn'T Vote For President,61
179,Pacific,Male,Bachelor,Never Married,None,NA,Above Average,Slightly Liberal,Legal,Disagree,NA,NA,Too Little,NA,Obama,27
180,South Atlantic,Male,High School,Never Married,Protestant,NA,Above Average,Moderate,NA,NA,Too Much,Too Much,About Right,About Right,NA,52
181,Foreign,Female,High School,Never Married,None,NA,NA,NA,Not Legal,NA,NA,NA,About Right,About Right,NA,36
182,Foreign,Female,High School,Divorced,Protestant,NA,Average,Liberal,Legal,NA,About Right,Too Little,Too Little,Too Little,NA,74
183,Foreign,Male,Graduate,Never Married,None,NA,Average,Liberal,NA,Agree,NA,NA,Too Little,Too Little,Obama,36
184,Pacific,Male,Graduate,Never Married,Protestant,NA,Above Average,Moderate,Legal,Agree,NA,NA,About Right,About Right,Obama,34
185,Foreign,Male,Bachelor,Divorced,None,NA,Average,Moderate,NA,Agree,About Right,Too Little,About Right,About Right,NA,46
186,Pacific,Female,High School,Never Married,None,NA,Above Average,Liberal,Legal,NA,Too Much,Too Little,Too Little,Too Little,NA,21
187,Pacific,Female,Lt High School,Divorced,Catholic,NA,Far Below Average,Moderate,Not Legal,NA,NA,NA,About Right,About Right,NA,72
188,Foreign,Male,Bachelor,Married,Catholic,Pretty Happy,Average,Slightly Liberal,NA,Agree,Too Little,Too Little,About Right,Too Little,Obama,46
189,Pacific,Female,High School,Never Married,None,NA,NA,Moderate,Legal,NA,NA,NA,About Right,About Right,NA,21
190,Pacific,Male,High School,Never Married,Catholic,NA,Average,Conservative,Legal,Disagree,NA,NA,Too Little,Too Little,NA,46
191,Pacific,Male,High School,Divorced,Protestant,NA,Average,Moderate,Legal,Disagree,NA,NA,Too Little,About Right,Romney,53
192,Mountain,Female,Graduate,Widowed,Protestant,NA,Far Below Average,Conservative,Legal,NA,Too Much,Too Little,About Right,Too Little,Romney,74
193,Pacific,Male,Lt High School,Divorced,Catholic,NA,Below Average,Moderate,Not Legal,NA,NA,NA,NA,Too Much,Obama,70
194,Pacific,Female,Bachelor,Married,Protestant,Not Too Happy,Average,Moderate,NA,Agree,About Right,Too Little,Too Little,Too Little,Romney,36
195,Pacific,Male,Lt High School,Married,None,Very Happy,Above Average,Extrmly Conservative,NA,NA,Too Much,Too Little,Too Little,Too Little,Romney,57
